Customer Name,Age,Gender,City,Occupation,Order Time,Restaurant,Food Item,No. of Items,Delivery Time (min),Total Bill ($),Delivery Tip ($),Payment Method,Coupon Applied,Order Status,Feedback Rating,Device Used,Customer Tier,Order Delay (min),Delivery Agent Rating
Chris,18,Female,Houston,Designer,48:17.7,Panda Express,Tacos,2,27,34.82,6.54,Credit Card,No,Delivered,5,Mobile App,Regular,13,4
Chris,18,Male,Houston,Doctor,41:17.7,Subway,Sandwich,4,40,44.09,4.52,Wallet,Yes,Delivered,5,Mobile App,Regular,7,4
Daniel,18,Male,Dallas,Engineer,14:17.7,Panda Express,Pasta,3,38,49.92,3.71,Wallet,No,Delivered,3,Desktop Site,Regular,2,5
Jessica,18,Female,San Jose,Engineer,04:17.7,Wendy's,Pizza,5,44,40.98,2.34,Credit Card,No,Delivered,5,Mobile App,Regular,10,5
Daniel,18,Male,Houston,Student,35:17.7,McDonald's,Ramen,3,19,7.86,2.04,Cash,No,Cancelled,3,Desktop Site,Regular,0,2
Daniel,18,Female,New York,Doctor,25:17.7,McDonald's,Pizza,2,30,37.17,0,UPI,No,Delivered,3,Mobile App,Gold,1,4
Ashley,18,Male,Dallas,Driver,37:17.7,Subway,Pizza,5,23,35.52,6.12,UPI,No,Delivered,3,Mobile App,Regular,0,4
Daniel,18,Male,Los Angeles,Salesperson,13:17.7,Subway,Pizza,2,42,11.56,2.75,Credit Card,Yes,Delivered,5,Desktop Site,Silver,3,2
Chris,18,Female,Dallas,Doctor,25:17.7,Burger King,Pizza,5,29,28.05,3.78,Credit Card,No,Delivered,3,Mobile App,Silver,7,3
Ashley,18,Male,Los Angeles,Student,36:17.7,McDonald's,Pizza,3,33,38.32,4.35,Debit Card,No,Delivered,4,Mobile App,Silver,5,4
Daniel,18,Female,San Jose,Teacher,11:17.7,KFC,Burger,2,14,29.1,7.14,Credit Card,No,Delivered,5,Mobile App,Silver,10,4
